Kode Soal,jawaban,skor,pertanyaan,rubrik
10,nilai k awal pada metode K Means Clustering ditentukan dengan elbow method yaitu dengan mempertimbangkan kategori-kategori cluster yang akan dibuat,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,"Cabang dari kecerdasan buatan yang memungkinkan komputer untuk belajar dari data untuk mengenali pola, membuat prediksi, atau mengambil keputusan tanpa diprogram secara eksplisit",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised learning → Model belajar menggunakan data ber label
Unsupervised learning → Model belajar dari data tanpa label
Semi-supervised → Model belajar dari data berlabel dan tanpa label
Reinforcement learning → Model belajar dari system reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,Data merupakan sebuah informasi faktual,5,Apa yang dimaksud dengan data?,
4,Dataset merupakan sekumpulan data yang telah disusun dengan ter-struktur,10,Apa yang dimaksud dengan dataset?,
5,Pre-processing dataset merupakan proses untuk membuat dataset yang lebih mudah dipahami oleh mesin/model,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Adalah proses menambah variasi data dengan memodifikasi data asli tanpa mengubah data aslinya. Contohnya Rotasi dan zoom,10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regresi → Memprediksi nilai numerik atau kontinu
Classification → mengelompokkan data ke dalam kelas ata kategori tertentu (supervised)
Clustering → Mengelompokkan data berdasarkan kemiripan tanpa menggunakan label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression → MAE
Classification → confusion matrix
Clustering → DBI",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"- Tentukan jumlah K
- Pilih k centroid
- Hitung jarak setiap data ke centroid, lalu masukkan data ke cluster dengan centroid terdekat
- Hitung ulang posisi centroid berdasarkan rata-rata data pada setiap cluster 
- Ulangi proses pengelompokkan dan perhitungan centroid",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
1,"Machine learning adalah teknik komputer dari data untuk mengenali pola, membuat prediksi, dan mengambil keputusan",5,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis machine learning 
a. Supervised learning: data yang sudah memiliki label dan digunakan untuk prediksi
b. Unsupervised learning : data yang belum memiliki label",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah bahan yang digunakan machine learning untuk praktikam seperti membuat prediksi,0,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang tersusun secara terstruktur dan untuk mendapatkan informasi.,10,Apa yang dimaksud dengan dataset?,
5,"Processing dataset adalah proses mengolah data, menjadi data yang terstruktur, bersih tanpa noise.",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah dataset hasil modifikasi,0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Regression adalah algoritma yang digunakan untuk mencari nilai 
- Classification algoritma adalah mengelompokkan yang belum memiliki tujuan akhir
- Clustering adalah mengelompokkan menyelesaikan masalah yang sudah meliki kelompok yang jelas dan memiliki tujuan",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Metode evaluasi classification adalah SVM
- Metode evaluasi clustering adalah K-Means Clustering
- Metode evaluasi regresi adalah linear regression",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"a.) Menentukan nilai K awal
b.) Mencari nilai K-awal
c.) Memproses nilai K-awal",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Dengan cara mencari nilai tengah yang akan digunakan pada dataset,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah metode machine menggunakan AI,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
3,Data adalah sekumpulan informasi yang disatukan menjadi sebuah data,5,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang dikelompokkan berdasarkan jenisnya,5,Apa yang dimaksud dengan dataset?,
7,"- Classification adalah metode supervised learning yang digunakan untuk memprediksi kelas atau kategori dari suatu data berdasarkan pola yang dipelajari
- Clustering adalah metode yang digunakan untuk mengelompokkan data berdasarkan kemiripan karakteristik tanpa menggunakan label",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Teknik Evaluasi Clustering
- Silhoulette score : Nilai antara -1 sampai 1
- Daries - Bouldin Index : Mengukur rata"" rasio jarak antar cluster
- Callinski - Harabase Index: menghitung perbandingan jarak antar cluster dan dalam cluster
- Insertia = Jumlah jarak kuadrat data terhadap cetroid
Teknik evaluasi dalam classification
- Accuracy = proporsi prediksi benar
- Precision = ketepatan prediksi positif
- Recall = kemampuan menemukan semua positif
- F1-Score : Kombinasi precision dan recall
- Confussion Matrix: tabel untuk evaluasi detail",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"Cara kerja nilai K-Means pada clustering adalah dia akan mengelompokkan datanya kemudian menentukan jumlah terbaiknya langkah-langkahnya:
1. Jalankan K-means dengan beberapa nilai K
2. Hitung nilai WCSS setiap K
3. Buat grafik K VS WCSS
4. Pilih titik siku (elbow sebagai jumlah cluster terbaik",5,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,[Gambar] adalah titik dimana penurunan WCSS mulai melambat. Titik tersebut menunjukkan jumlah cluster terbaik,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah cabang AI yang memungkinkan komputer belajar dari data untuk membuat prediksi atau keputusan tanpa diprogram secara langsung,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis jenis machine learning 
→ supervised learning = menggunakan data berlabel, 
→ unsupervised learning = menggunakan data tanpa label, 
→ reinforcement learning = model belajar menulis sistem reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,"data adalah sekumpulan fakta, informasi mentah yang dapat diolah menjadi informasi yang berguna",10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang disusun dalam satu tempat dan digunakan untuk proses analisis atau pelatihan model machine learning,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses membersihkan dan menyiapkan data sebelum digunakan,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Aligmented dataset adalah teknik menambah variasi data tanpa mengumpulkan sata baru agar model lebih akurat, contohnya rotasi gambar, flip",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma Regression → digunakan untuk memprediksi nilai angka
Classification → digunakan untuk mengelompokkan data ke dalam kelas 
Clustering → digunakan untuk mengelompokkan data berdasarkan kemiripan",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,Machine learning adalah adalah cabang dari Artificial Intelegent (AI) yang memungkinkan komputer belajar dari data untuk membuat prediksi / keputusan tanpa dipegang secara langsung,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis Machine learning ada 3: 
→ Supervised learning : menggunakan data berlabel
→ Unsupervised learning : menggunakan data tidak berlabel
→ Reinformoment learning : model belajar melalui sistem reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan fakta, angka, gambar dan teks atau informasi mentah yang dapat diolah menjadi informasi yang berguna",10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang tersusun dalam bentuk tabel atau struktur tertentu dan digunakan dan digunakan sebagai bahan pelatihan maupun pengian model,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses menyiapkan data sebelum digunakan untuk melatih model,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"- Augmented dataset adalah data yang diperbanyak atau dimodifikasi untuk meningkatkan jumlah dan variasi data
- Contoh metode yang digunakan untuk melakukan augmented dataset 
1. Rotasi gambar 2. Zoom, 3. Crop, dll",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regression adalah
- Classification adalah
- Clustering adalah",0,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi yang sesuai dengan algoritma
- regression : MAT
- classification : Accuracy, Presession
- clustering : Silhoute score",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"- menentukan jumlah cluster (k)
- memilih centroid awal
- menghitung jarak
- mengelompokkan data
- menghitung ulang
- mengulangi proses",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
2,"Jenis jenis dari machine learning:
→ Supervised learning : menggunakan data berlabel
→ Unsupervised learning : menggunakan data tanpa berlabel
→ Reinformoment learning : model belajar melalui sistem reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan fakta, informasi mentah yang dapat diolah menjadi informasi yang berguna",10,Apa yang dimaksud dengan data?,
6,"Aligmented dataset adalah teknik menambah variasi data tanpa mengumpulkan data baru agar model lebih akurat
contohnya, rotasi gambar, flip",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
1,Machine learning adalah cabang ai yang membuat komputer dapat belajar dari data untuk memuat prediksi atau keputusan tanpa diprogram secara langsung,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis - jenis machine learning
- Supervised learning → menggunakan data berlabel
- Unsupervised learning → menggunakan data tanpa tabel
- Reinformant learning → belajar dari reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan fakta atau informasi yang dapat diolah menjadi informasi yang berguna,10,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data yang digunakan untuk proses pelatihan dan pengujian model,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah proses membersihkan dan menyiapkan data agar siap digunakan dalam machine learning,10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah data yang diperbanyak dengan memodifikasi data asli untuk meningkatkan jumlah dan variasi data
contoh: rotasi, crop, zoom, dan penambahan noise",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Regression adalah memprediksi sebuah nilai numerik
- Clasification adalah mengelompokkan data berdasarkan kemiripan tanpa label
- Clustering adah",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,"Machine learning adalah teknologi yang bisa proses dan mengolah data, dan prediksi akurasi",5,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Supervised learning, unsupervised learning, rainforcement learning",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah bahan untuk kemudian diolah dan diproses oleh machine learning,0,Apa yang dimaksud dengan data?,
4,Dataset adalah bahan mentah untuk dipelajari dan dapat diproses oleh machine learning,5,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah langkah atau tahapan yang dilakukan machine learning contohnya resize, rescale",5,Apa yang dimaksud dengan Preprocessing Dataset?,
7,"Regression (prediksi nilai)
Classification (menentukan kelas)
Clustering (mengelompokkan data)",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Regression = MAE MSF
Classification = Accuracy
Clustering = Shihoute score",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,Tentukan K→garis centroid - kelompok data - hitung centroid baru - ulang hingga stabil,10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Cari jumlah cluster terbaik,5,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah cabang ai yang membuat komputer dijalankan tanpa sebuah program,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis jenis machine learning:
Supervised learning:
Unsupervised learning:
Reinfor center learning:",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah informasi data data mentah yang diolah menjadi informasi,0,Apa yang dimaksud dengan data?,
4,Dataset adalah kumpulan data data yang sudah di olah dan siap,10,Apa yang dimaksud dengan dataset?,
5,procesing dataset adalah suatu proses pengumpulan data yang siap untuk diolah oleh komputer,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented dataset adalah mengargumentasikan sebuah data yang sudah diolah dan siap dijalankan pada suatu sistem,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Regresion:
Clasification: mengklasifikasi sebuah data kedalam suatu kelompok
Clustering: mengelompokkan sebuah data ke dalam satu class",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"Metode evaluasi:
Regresion: MAE, RMSE
Clasification: accuracy, precision
Clustering: davies building - index",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"cara kerja K-Means clustering:
- tentukan jumlah kluster
- pilih centroid awal
- kelompok kan data ke centroid
- hitung ulang centroid",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,cara menentukan nilai k ke dalam metode k-means clustering,0,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah cabang ilmu pengetahuan kecerdasa buatan yang berfungsi untuk dijalankan di computer vision / industri guna untuk mengolah data,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"1) Supervised learning, yaitu menggunakan data berlabel
2) Unsupervised learning, yaitu menggunakan data tidak berlabel
3) semi-supervised learning, yaitu gabungan antara data berlabel dan tidak berlabel
4) Reinforcement learning, yaitu melatih agen mengambil keputusan sendiri dengan menerapkan sistem reward dan punishment sesuai lingkungan",10,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah sekumpulan data yang sudah dievaluasi dan siap digunakan untuk pengujian,0,Apa yang dimaksud dengan data?,
4,dataset sekumpulan data yang sudah dievaluasi dan siap digunakan untuk pengujian,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing dataset adalah tahap proses dataset untuk dipersiapkan dan disesuaikan guna untuk digunakan dan dijalankan sebelum proses tersebut,5,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah dataset yang dimodifikasi. contoh metode yang digunakan untuk augmented dataset adalah Support Vector Machine (SVM), naive bayes dan k - means clustering",0,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"Algoritma regression adalah metode supervised learning dengan mencari nilai numerik, sedangkan classification adalah teknik supervised learning yang memprediksi kategori dari data yang sudah berlabel dengan cara mempelajari pola dataset yang berhistori. Dan clustering adalah teknik unsupervised learning yang mengelompokkan kategori berdasarkan kesamaan kelompok (cluster) dan berbeda dengan kelompok lainnya",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- metode evaluasi pada algoritma clustering adalah K-Means clustering dan Hierachical clustering
- metode evaluasi pada algoritma regression adalah linear regression, KNN
- metode evaluasi pada algoritma klasifikasi adalah SVM, random forest, naive bayes",0,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,cara kerja metode k - means clustering adalah mencari dan menentukan nilai k dalam clustering. Baru kemudian dikelompokkan sesuai cluster masing masing,0,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,Dengan mencari dan menentukan nilai k atau nilai tengah diantara dataset yang diuji,10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,Machine learning adalah komputer yg di jalankan tanpa program,0,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Unsuperviser
- Superviser",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah data data mentah yg di olah menjadi informasi,0,Apa yang dimaksud dengan data?,
4,Datases adalah data-data mentah yg di olah menjadi informasi,10,Apa yang dimaksud dengan dataset?,
5,Preprocessing datases adalah suatu proses yang stop untuk komputer,5,Apa yang dimaksud dengan Preprocessing Dataset?,
8,"Metode Evaluasi
Regression → MAE - RNSE
Classification → accurucy provessin
Clustering →",5,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
1,Machine learning adalah cabang ilmu dari artifical intelligence yang dimana bagaimana membuat sebuah mesin belajar dengan sendirinya,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"Jenis-jenis machine learning:
1. Supervised learning
2. Unsurpervised learning 
3. Reinforement learning",5,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah sekumpulan informasi yang berupa fakta baik itu teks, gambar maupun video dan lain-lainnya",10,Apa yang dimaksud dengan data?,
4,dataset adalah sekumpulan data yang dikumpulkan untuk kemudian dipakai ke dalam machine learning agar machine belajar,10,Apa yang dimaksud dengan dataset?,
7,"Algoritma regression →memproses data berdasarkan garis tengah
Algoritma classification→Algoritma yang memproses data berdasarkan kelasnya
Algoritma clustering→Algoritma yang memproses data didasarkan per kelompokkan",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
1,"Machine learning adalah cabang artifical intelligence (AI) yang memungkinkan komputer berjalan dari data untuk mengenai pola, membuat prediksi, atau mengambil keputusan tanpa diprogram secara eksplisit.",10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- Supervised learning → Belajar menggunakan data yang memiliki label.
- Unsupervised learning → belajar dari data tanpa lebel
- Semi - - Supevised learning → menggunakan sebagian data berlebel dan sebagian data tanpa lebel
- Reinforcement learning → Belajar melalui proses trial and error dengan sistem reward dan punishment",10,Jelaskan jenis-jenis dari machine learning?,
3,"Data adalah kumpulan fakta, angka, teks, gambar, atau informasi mentah yang dapat diolah menjadi informasi yang berguna",10,Apa yang dimaksud dengan data?,
4,Dataset adalah sekumpulan data yang tersusun dalam bentuk label atau file yang digunakan sebagai bahan pelatihan maupun pengujian pada model machine learning,10,Apa yang dimaksud dengan dataset?,
5,"Preprocessing dataset adalah proses mempersiapkan data agar siap digunakan dalam machine learning, seperti membersihkan data, menangani missing value, menghapus data duplikat",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,"Augmented dataset adalah dataset yang diperbanyak atau dimodifikasi untuk meningkatkan jumlah dan variasi data tanpa mengubah makna data asli, contoh metode nya addalah rotasi gambar , flip, zoom.",10,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- algoritma regression adalah algoritma untuk memprediksi nilai numerik atau kontinu
- algoritma classification adalah algoritma untuk algoritma untuk mengelompokkan data ke dalam kelas tertentu
- algoritma clustering adalah algortima untuk mengelompokkan data berdasarkan kemiripan tanpa label",10,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
8,"- Regression → MEA (Mean Absoluote Error) MSE (Mean Squared Error) dan R² scrore
- Classification → Acuracy, Presision, Recall, F1-Score dan Confusion matriks
- Clustering → Suhouette score, Devios-Boulding indeks, dan Calinski Harabase Indeks",10,"Jelaskan Metode evaluasi yang sesuai dengan algoritma Regression, Classification dan Clustering?",
9,"- menentukan jumlah cluster (k)
- memilih centroid awal secara acak
- menghitung jarak setiap data ke centroid
- mengelompokkan data ke centroid terdekat
- menghitung ulang posisi centroid berdasarkan rata-rata anggota cluster
- mengitung langkah 3-5 hingga centroid tidak berubah atau mencapai iterasi maksimum",10,Jelaskan bagaimana cara kerja metode K Means Clustering?,
10,"- metode elbuw, yaitu memilih k pada titik siku
- suhouette score yaitu memilih nilai k yang menghasilkan skor suhouette tertinggi
- Berdasarkan pengetahuan atau kebutuhan domain terhadap jumlah kelompok yang diinginkan",10,Jelaskan Bagaimana menentukan nilai K awal dalam metode K Means Clustering?,
1,machine learning adalah cabang IA yang membuat komputer dan belajar dari data untuk prediksi dan pengambil keputusan.,10,Jelaskan apa yang dimaksud dengan Machine Learning?,
2,"- suvervised learning
- unsuvervised learning
- reinfor cement learning",5,Jelaskan jenis-jenis dari machine learning?,
3,Data adalah informasi atau fakta yang masi mentah yang siap untuk di analisis,10,Apa yang dimaksud dengan data?,
4,Dataset adalah Data yang sudah jadi dan siap diolah.,5,Apa yang dimaksud dengan dataset?,
5,"Preppocessing adalah : yang meliputi, Resize, Augmented, Normalisasi, Proses membersihkan dan menyiapkan data sebelum digunakan.",10,Apa yang dimaksud dengan Preprocessing Dataset?,
6,Augmented adalah : teknik menambahkan variasi data agar jumlah data bertambah tanpa mengumpulkan data baru.,5,Jelaskan apa yang dimaksud dengan Augmented Dataset dan Berikan contoh metode yang digunakan untuk melakukan Augmented Dataset?,
7,"- Algoritma regresion : Memprediksi nilai kontinu
- classification : Mengelompokkan data ke kelas tertentu.
- clustering : mengelompokan data berdasarkan kemiripan tanpa label.",5,"Jelaskan apa yang dimaksud dengan Algoritma Regression, Classification dan Clustering?",
